Time,X,Y,Z
1622214992114,-1.1871835,0.5444776,0.091432
1622214992155,-1.2544775,0.57032233,0.18774037
1622214992196,-1.1191581,0.6007997,0.084848896
1622214992241,-0.9284919,0.5717852,0.18578982
1622214992282,-0.71832025,0.48544297,0.5971424
1622214992324,-0.37182346,0.35621905,0.5995806
1622214992369,-0.16287087,0.31842718,0.45155215
1622214992412,-0.17676853,0.22553225,0.5054666
1622214992462,-0.10679258,0.17920671,0.92727286
1622214992504,-0.18944709,0.22431317,0.8324274
1622214992545,-0.11849586,0.25796014,0.88241017
1622214992586,-0.013410027,0.28063527,0.990178
1622214992628,0.038767166,0.31062496,1.0916066
1622214992670,-0.05997939,0.30818677,1.290075
1622214992711,-0.15994504,0.3098935,1.3254287
1622214992755,0.14677884,0.26893198,1.2542336
1622214992796,0.13166209,0.27405217,0.7719603
1622214992838,-0.02535714,0.36645946,0.87948436
1622214992878,-0.3135508,0.32598555,1.2352158
1622214992920,-0.10337911,0.18237635,1.0528394
1622214992961,-0.07021977,0.20285712,1.1020908
1622214993002,0.11703295,0.25722867,0.82072407
1622214993046,-0.048032273,0.46886325,0.7275853
1622214993087,-0.028526783,0.34280905,0.91508186
1622214993128,-0.031696424,0.33110574,0.9804253
1622214993178,-0.04559409,0.3491483,1.0472317
1622214993219,0.0026820053,0.38133237,0.7336808
1622214993262,0.039254803,0.43424103,0.808777
